,ori_gecko_smoment_flux_cb,ori_gecko_smoment_subunit_flux_cb,mw_cb,kcat_cb
TTRCYCtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TSULtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TSULtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TRPtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TRPtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TREtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TREtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TMAOtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TMAOtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TMAtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TMAtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THMDtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THMDtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THYMtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THYMtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THRPtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THRPtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THRtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THRtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THMtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
THMtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TCYNTtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TCYNTtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TAURtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TAURtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TARTRtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TARTRtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TARTRDtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TARTRDtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SULFACtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SULFACtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SUCRtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SUCRtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SUCCtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SUCCtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SPMDtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SPMDtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SO4tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SO4tex,0.22 # 0.0 # 0.22,0.22 # 0.18 # 0.15 # 0.15,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SO3tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SO3tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SO2tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SO2tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SLNTtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SLNTtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SKMtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SKMtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SERtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SERtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
DSERtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
DSERtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SELtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SELtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SBTtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
SBTtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
RMNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
RMNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
RIBtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
RIBtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
R5Ptex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
R5Ptex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
QUIN2tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
QUIN2tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PYRtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 1.52 # 1.55,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PYRtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PYDXNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PYDXNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PYDXtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PYDXtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PYDAMtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PYDAMtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PTRCtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PTRCtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PSERtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PSERtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PSCLYStex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PSCLYStex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PROGLYtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PROGLYtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PROtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PROtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PPTtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PPTtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PPPNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PPPNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PPALtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PPALtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PPAtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PPAtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PNTOtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PNTOtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PItex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PItex,0.85 # 0.0 # 0.85,0.85 # 0.68 # 0.57 # 0.56,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PHEtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PHEtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PEAMNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PEAMNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PACALDtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
PACALDtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
OROTtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
OROTtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
ORNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
ORNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
OCTAtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
OCTAtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
O2Stex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
O2Stex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
O2tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
O2tex,22.13 # 0.0 # 22.16,22.13 # 16.49 # 30.55 # 30.55,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NO3tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NO3tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NO2tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NO2tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NOtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NOtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NMNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NMNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NI2tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NI2tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NH4tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NH4tex,9.47 # 9.46 # 9.46,9.47 # 7.64 # 0.0 # 6.33,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NACtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NACtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NAtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
NAtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
N2Otex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
N2Otex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MSO3tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MSO3tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MOBDtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MOBDtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MNLtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MNLtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MMETtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MMETtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MINCYCtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MINCYCtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MG2tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MG2tex,0.01 # 0.0 # 0.01,0.01 # 0.01 # 0.01 # 0.01,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
METSOX1tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
METSOX1tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
METSOX2tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
METSOX2tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
METtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
METtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
METDtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
METDtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MEOHtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MEOHtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MELIBtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MELIBtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MANGLYCtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MANGLYCtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MAN6Ptex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MAN6Ptex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MANtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MANtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MALtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MALtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MALDtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
MALDtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LYXtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LYXtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LYStex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LYStex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LIPOtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LIPOtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LEUtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LEUtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LCTStex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LCTStex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LALALGLUtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
LALALGLUtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
